Εξάμηνο,Μάθημα,Καθηγητής,Δύσκολο (TRUE/FALSE),Εργαστήριο (TRUE/FALSE)
1,Γραµµική Άλγεβρα,ΓΙΑΝΝΟΠΟΥΛΟΥ,TRUE,FALSE
1,Διακριτά Μαθηµατικά,ΑΧΛΙΟΠΤΑΣ,FALSE,FALSE
1,Εισαγωγή στην Πληροφορική και στις Τηλεπικοινωνίες,ΤΣΑΛΓΑΤΙΔΟΥ,FALSE,FALSE
1,Λογική Σχεδίαση,ΠΑΣΧΑΛΗΣ,FALSE,FALSE
1,Εισαγωγή στον Προγραµµατισµό,ΣΤΑΜΑΤΟΠΟΥΛΟΣ,FALSE,TRUE
3,Ανάλυση ΙΙ,ΓΑΤΖΟΥΡΑ,TRUE,FALSE
3,Πιθανότητες και στοιχεία Στατιστικής,ΚΑΡΑΛΙΟΠΟΥΛΟΥ,FALSE,FALSE
3,Αντικειµενοστραφής Προγραµµατισµός,ΚΑΡΑΛΗ,FALSE,TRUE
3,Σήµατα και Συστήµατα,ΠΑΝΑΓΑΚΗΣ,TRUE,FALSE
3,Εργαστήριο Κυκλωμάτων και Συστημάτων,ΠΙΝΟ,FALSE,FALSE
5,Αρχές Γλωσσών Προγραµµατισµού,ΡΟΝΤΟΓΙΑΝΝΗΣ,FALSE,FALSE
5,Γραφικά Ι ,ΘΕΟΧΑΡΗΣ,FALSE,FALSE
5,Αριθµητική Ανάλυση,ΤΖΑΦΕΡΗΣ,TRUE,FALSE
5,Εφαρμοσμένα Μαθηματικά,ΓΑΤΖΟΥΡΑ,FALSE,FALSE
5,Υλοποίηση Συστημάτων Βάσεων Δεδομένων,ΙΩΑΝΝΙΔΗΣ,TRUE,TRUE
5,Λειτουργικά Συστήµατα,ΧΑΤΖΗΕΥΘΥΜΙΑΔΗΣ,FALSE,FALSE
5,Αρχιτεκτονική Υπολογιστών ΙΙ,ΓΚΙΖΟΠΟΥΛΟΣ,TRUE,FALSE
5,Τεχνητή Νοηµοσύνη (ΤΟ ΚΑΛΥΤΕΡΟ!!!!),ΚΟΥΜΠΑΡΑΚΗΣ,FALSE,TRUE
5,Σχεδίαση Ψηφιακών Συστηµάτων -VHDL,ΠΑΣΧΑΛΗΣ,FALSE,FALSE
5,Τηλεπικοινωνιακά Δίκτυα ,ΒΑΡΟΥΤΑΣ,FALSE,FALSE
5,Ψηφιακή Επεξεργασία Σήµατος,ΑΛΕΞΑΝΔΡΟΠΟΥΛΟΣ,FALSE,FALSE
5,Δίκτυα Επικοινωνιών ΙΙ,ΜΠΑΛΑΟΥΡΑΣ,FALSE,FALSE
7,Αλγοριθµική Επιχειρησιακή Έρευνα,ΖΗΣΙΜΟΠΟΥΛΟΣ,FALSE,FALSE
7,Προηγµένα Θέµατα Αλγορίθµων,ΦΟΥΡΤΟΥΝΕΛΗ,FALSE,FALSE
7,Ειδικά Θέματα Θεωρητικής Πληροφορικής: Αλγόριθμοι Δομικής Βιοπληροφορικής,ΑΧΛΙΟΠΤΑΣ,FALSE,FALSE
7,Αλγόριθμοι Βιοπληροφορικής,ΕΜΙΡΗΣ,FALSE,FALSE
7,Προηγμένοι Επιστημονικοί Υπολογισμοί,ΤΖΑΦΕΡΗΣ,FALSE,FALSE
7,Υπολογιστική Πολυπλοκότητα,ΓΙΑΝΝΟΠΟΥΛΟΥ,FALSE,FALSE
7,Ανάπτυξη Λογισµικού για Αλγοριθμικά Προβλήματα,ΕΜΙΡΗΣ,FALSE,FALSE
7,Ανάπτυξη Λογισµικού για Πληροφοριακά Συστήματα,ΙΩΑΝΝΙΔΗΣ,FALSE,FALSE
7,Επικοινωνία Ανθρώπου Μηχανής,ΡΟΥΣΣΟΥ,FALSE,FALSE
7,ΤΠΕ στη Μάθηση (Πληροφορική κ Εκπαίδευση),ΓΟΓΟΥΛΟΥ,FALSE,FALSE
7,Τεχνητή Νοημοσύνη ΙΙ (ΤΟ ΔΕΥΤΕΡΟ ΚΑΛΥΤΕΡΟ!!!),ΚΟΥΜΠΑΡΑΚΗΣ,TRUE,TRUE
7,Δοµή και Θεσµοί της Ευρωπαϊκής Ένωσης,ΤΟΛΙΔΗΣ,FALSE,FALSE
7,Σχεδίαση VLSI Κυκλωµάτων,ΝΙΚΑΣ,FALSE,FALSE
7,Ειδικά Θέματα Επικοινωνιών και Επεξεργασίας Σήματος: Ενισχυτική μηχανική μάθηση και στοχαστικά παίγνια,ΚΑΛΟΥΠΤΣΙΔΗΣ,FALSE,FALSE
7,Ανάπτυξη Λογισμικού για Συστήματα Δικτύων και Τηλεπικοινωνιών ,ΜΠΑΛΑΟΥΡΑΣ,FALSE,FALSE
7,Συστήματα Πληροφορικής και e-Προσβασιμότητα για μαθητές με αναπηρία ,ΠΙΝΟ,FALSE,FALSE
